Region,District,Village,land_preparation_start,land_preparation_end,rainfall_start,rainfall_end,planting_start,planting_end,tasseling/seed_filling_start,tasseling/seed_filling_end,harvesting_start,harvesting_end,dry_spell
B,F,Undi,31-Jul,30-Nov,15-Nov,1-Apr,1-Dec,31-Dec,1-Feb,28-Feb,1-Apr,30-Apr,1-Jan
B,F,Fatchi,27-Jun,3-Jun,27-Dec,6-Mar,27-Dec,27-Dec,27-Jan,12-Feb,27-Mar,14-May,30-Jan
B,F,Utenda,5-Aug,4-Nov,30-Nov,7-Feb,30-Nov,28-Dec,5-Feb,28-Feb,30-Mar,8-Apr,17-Jan
B,F,Khuleti,11-Jul,28-Sep,23-Nov,24-Jan,27-Nov,19-Dec,8-Jan,21-Feb,28-Mar,28-Apr,29-Jan
B,G,Msiyankhuni,13-Jun,31-Aug,13-Dec,11-Dec,20-Dec,2-Jan,8-Feb,28-Feb,21-Mar,9-Apr,18-Jan
B,G,Alufandika,2-Jul,29-Sep,27-Nov,22-Jan,24-Nov,4-Dec,8-Jan,23-Feb,3-Apr,23-May,30-Jan
B,G,Ndamera,9-Sep,29-Oct,3-Nov,22-Mar,2-Nov,30-Nov,27-Feb,28-Apr,30-Mar,27-May,10-Jan
B,G,Ndamera,27-Sep,27-Oct,27-Nov,16-Jan,2-Nov,28-Dec,10-Feb,27-Apr,27-Mar,10-Apr,27-Jun
B,G,Madani,30-Aug,19-Oct,17-Dec,6-Feb,19-Dec,6-Jan,26-Feb,22-Mar,27-Apr,22-May,22-Feb
B,G,Chitomeni,30-Aug,19-Oct,17-Dec,6-Feb,19-Dec,6-Jan,26-Feb,22-Mar,27-Apr,22-May,22-Feb
B,G,Chelima,30-Aug,19-Oct,17-Dec,6-Feb,19-Dec,6-Jan,26-Feb,22-Mar,27-Apr,22-May,22-Feb
B,H,Ngulumba,27-Jul,17-Sep,6-Nov,27-Jan,12-Nov,4-Jan,11-Jan,17-Feb,9-Mar,26-Apr,9-Feb
B,H,Mukumba,1-Sep,31-Oct,15-Nov,31-Mar,15-Nov,1-Dec,1-Jan,31-Jan,1-Apr,30-Apr,1-Jan
B,H,Andileya,1-Aug,31-Oct,20-Dec,28-Feb,25-Dec,1-Jan,1-Feb,28-Feb,31-Mar,14-Apr,15-Jan
B,H,Mbande,1-Aug,31-Oct,20-Dec,1-Mar,25-Dec,15-Jan,1-Feb,28-Feb,1-Apr,30-Apr,1-Jan
B,H,Ingombe,1-Aug,31-Oct,20-Dec,31-Mar,25-Dec,15-Jan,1-Feb,28-Feb,1-Apr,30-Apr,15-Jan
B,H,Thaundi,8-Jul,15-Oct,30-Nov,1-Mar,15-Dec,31-Dec,1-Mar,31-Mar,30-Apr,20-May,1-Jan
B,H,Utenda,8-Jul,15-Oct,30-Nov,1-Mar,15-Dec,31-Dec,1-Feb,28-Feb,2-Apr,15-Apr,1-Jan
C,H,Fatchi,1-Aug,1-Nov,30-Nov,31-Mar,20-Dec,10-Jan,28-Feb,1-Mar,15-Apr,1-May,15-Jan
C,H,Alufandika,1-Aug,30-Nov,30-Nov,31-Mar,20-Dec,10-Jan,28-Feb,1-Mar,1-Apr,1-May,31-Jan
C,I,Michesi,1-Aug,1-Oct,15-Nov,30-Apr,31-Dec,10-Jan,1-Feb,28-Feb,30-Apr,15-May,15-Jan
C,I,Slika,1-Aug,1-Oct,15-Nov,30-Apr,31-Dec,10-Jan,1-Feb,28-Feb,30-Apr,15-May,15-Jan
C,I,Undi,11-Jul,28-Nov,13-Dec,4-Apr,14-Dec,3-Jan,29-Jan,12-Feb,8-Apr,28-May,3-Jan
C,I,Mukumba,15-Jul,31-Oct,25-Nov,31-Mar,25-Nov,20-Dec,14-Jan,7-Feb,8-Apr,7-May,1-Jan
C,I,Somba,7-Jun,31-Oct,20-Dec,29-Mar,20-Dec,30-Jan,31-Jan,8-Feb,6-Apr,26-Apr,27-Jun
C,I,Chimbiya,1-Aug,31-Oct,18-Dec,31-Mar,19-Dec,5-Jan,1-Feb,28-Feb,15-Apr,31-May,8-Jan
C,I,Lungizi,1-Aug,31-Oct,16-Dec,31-Mar,16-Dec,7-Jan,14-Feb,28-Feb,20-Apr,31-May,29-Dec
C,I,Masaka,1-Aug,31-Oct,7-Dec,31-Mar,7-Dec,15-Dec,24-Jan,14-Feb,22-Apr,20-May,25-Jan
